signing_date,publication_date,executive_order_number,title,Generated_Initial_Codes,Finalized_Theme_Name,Theme_Confidence_Score,citation,document_number,end_page,html_url,pdf_url,type,subtype,start_page,disposition_notes,not_received_for_publication
2025-04-02,2025-04-07,14256,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China as Applied to Low-Value Imports,Trade; Health; International Affairs,Foreign Policy and External Relations,0.73,90 FR 14899,2025-06027,14902,https://www.federalregister.gov/documents/2025/04/07/2025-06027/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06027.pdf,Presidential Document,Executive Order,14899,"See: EO 14195, February 1, 2025; EO 14200, February 5, 2025; EO 14228, March 3, 2025; EO 14257, April 2, 2025; EO 14259, April 8, 2025
 Superseded by: EO 14324, July 30, 2025 (in part)",
2025-04-04,2025-04-09,14258,Extending the TikTok Enforcement Delay,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 15209,2025-06162,15210,https://www.federalregister.gov/documents/2025/04/09/2025-06162/extending-the-tiktok-enforcement-delay,https://www.govinfo.gov/content/pkg/FR-2025-04-09/pdf/2025-06162.pdf,Presidential Document,Executive Order,15209,"See: EO 14166, January 20, 2025; EO 14310, June 19, 2025; EO 14352, September 25, 2025",
2025-04-08,2025-04-14,14260,Protecting American Energy From State Overreach,Energy,Energy Development and Resource Expansion,1,90 FR 15513,2025-06379,15515,https://www.federalregister.gov/documents/2025/04/14/2025-06379/protecting-american-energy-from-state-overreach,https://www.govinfo.gov/content/pkg/FR-2025-04-14/pdf/2025-06379.pdf,Presidential Document,Executive Order,15513,,
2025-04-08,2025-04-14,14261,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Energy,Energy Development and Resource Expansion,1,90 FR 15517,2025-06380,15520,https://www.federalregister.gov/documents/2025/04/14/2025-06380/reinvigorating-americas-beautiful-clean-coal-industry-and-amending-executive-order-14241,https://www.govinfo.gov/content/pkg/FR-2025-04-14/pdf/2025-06380.pdf,Presidential Document,Executive Order,15517,"Amends: EO 14241, March 20, 2025
 See: EO 14386, February 11, 2026",
2025-04-08,2025-04-14,14262,Strengthening the Reliability and Security of the United States Electric Grid,Energy,"National Security, Defense, and Strategic Resilience",1,90 FR 15521,2025-06381,15522,https://www.federalregister.gov/documents/2025/04/14/2025-06381/strengthening-the-reliability-and-security-of-the-united-states-electric-grid,https://www.govinfo.gov/content/pkg/FR-2025-04-14/pdf/2025-06381.pdf,Presidential Document,Executive Order,15521,"See: EO 14156, January 20, 2025; EO 14386, February 11, 2026",
2025-04-08,2025-04-14,14259,Amendment to Reciprocal Tariffs and Updated Duties as Applied to Low-Value Imports From the People's Republic of China,Trade,"Trade, Tariffs, and Export Promotion",1,90 FR 15509,2025-06378,15511,https://www.federalregister.gov/documents/2025/04/14/2025-06378/amendment-to-reciprocal-tariffs-and-updated-duties-as-applied-to-low-value-imports-from-the-peoples,https://www.govinfo.gov/content/pkg/FR-2025-04-14/pdf/2025-06378.pdf,Presidential Document,Executive Order,15509,"See: EO 14256, April 2, 2025; EO 14257, April 2, 2025; EO 14298, May 12, 2025; EO 14334, August 11, 2025; Notice of March 24, 2026 (91 FR 15517)",
2025-04-09,2025-04-15,14264,Maintaining Acceptable Water Pressure in Showerheads,Public Admin,Water Supply and Disaster Response,0.95,90 FR 15619,2025-06459,15620,https://www.federalregister.gov/documents/2025/04/15/2025-06459/maintaining-acceptable-water-pressure-in-showerheads,https://www.govinfo.gov/content/pkg/FR-2025-04-15/pdf/2025-06459.pdf,Presidential Document,Executive Order,15619,,
2025-04-09,2025-04-15,14265,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 15621,2025-06461,15624,https://www.federalregister.gov/documents/2025/04/15/2025-06461/modernizing-defense-acquisitions-and-spurring-innovation-in-the-defense-industrial-base,https://www.govinfo.gov/content/pkg/FR-2025-04-15/pdf/2025-06461.pdf,Presidential Document,Executive Order,15621,"See: EO 14192, January 31, 2025",
2025-04-09,2025-04-15,14267,Reducing Anti-Competitive Regulatory Barriers,Public Admin,Domestic Investment and Market Competition,1,90 FR 15629,2025-06463,15630,https://www.federalregister.gov/documents/2025/04/15/2025-06463/reducing-anti-competitive-regulatory-barriers,https://www.govinfo.gov/content/pkg/FR-2025-04-15/pdf/2025-06463.pdf,Presidential Document,Executive Order,15629,"See: EO 12866, September 30, 1993; EO 14219, February 19, 2025",
2025-04-09,2025-04-15,14268,Reforming Foreign Defense Sales To Improve Speed and Accountability,Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 15631,2025-06464,15633,https://www.federalregister.gov/documents/2025/04/15/2025-06464/reforming-foreign-defense-sales-to-improve-speed-and-accountability,https://www.govinfo.gov/content/pkg/FR-2025-04-15/pdf/2025-06464.pdf,Presidential Document,Executive Order,15631,"See: EO 14383, February 6, 2026; EO 14384, February 6, 2026",
2025-04-09,2025-04-15,14263,Addressing Risks From Susman Godfrey,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 15615,2025-06458,15617,https://www.federalregister.gov/documents/2025/04/15/2025-06458/addressing-risks-from-susman-godfrey,https://www.govinfo.gov/content/pkg/FR-2025-04-15/pdf/2025-06458.pdf,Presidential Document,Executive Order,15615,"See: EO 14147, January 20, 2025; EO 14230, March 6, 2025",
2025-04-09,2025-04-15,14269,Restoring America's Maritime Dominance,Transportation,Infrastructure and Maritime Transportation Rules,1,90 FR 15635,2025-06465,15641,https://www.federalregister.gov/documents/2025/04/15/2025-06465/restoring-americas-maritime-dominance,https://www.govinfo.gov/content/pkg/FR-2025-04-15/pdf/2025-06465.pdf,Presidential Document,Executive Order,15635,"See: EO 14192, January 31, 2025",
2025-04-09,2025-04-15,14270,Zero-Based Regulatory Budgeting To Unleash American Energy,Energy; Public Admin,Energy Development and Resource Expansion,1,90 FR 15643,2025-06466,15646,https://www.federalregister.gov/documents/2025/04/15/2025-06466/zero-based-regulatory-budgeting-to-unleash-american-energy,https://www.govinfo.gov/content/pkg/FR-2025-04-15/pdf/2025-06466.pdf,Presidential Document,Executive Order,15643,"See: EO 14158, January 20, 2025; EO 14192, January 31, 2025",
2025-04-09,2025-04-15,14266,Modifying Reciprocal Tariff Rates To Reflect Trading Partner Retaliation and Alignment,Trade,"Trade, Tariffs, and Export Promotion",1,90 FR 15625,2025-06462,15628,https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,https://www.govinfo.gov/content/pkg/FR-2025-04-15/pdf/2025-06462.pdf,Presidential Document,Executive Order,15625,"See: EO 14257, April 2, 2025; EO 14259, April 8, 2025; EO 14298, May 12, 2025; EO 14316, July 7, 2025; EO 14334, August 11, 2025; Notice of March 24, 2026 (91 FR 15517)",
2025-04-15,2025-04-18,14272,Ensuring National Security and Economic Resilience Through Section 232 Actions on Processed Critical Minerals and Derivative Products,Defense; Macro Economy,"National Security, Defense, and Strategic Resilience",1,90 FR 16437,2025-06836,16440,https://www.federalregister.gov/documents/2025/04/18/2025-06836/ensuring-national-security-and-economic-resilience-through-section-232-actions-on-processed-critical,https://www.govinfo.gov/content/pkg/FR-2025-04-18/pdf/2025-06836.pdf,Presidential Document,Executive Order,16437,,
2025-04-15,2025-04-18,14271,"Ensuring Commercial, Cost-Effective Solutions in Federal Contracts",Commerce,Domestic Investment and Market Competition,1,90 FR 16433,2025-06835,16435,https://www.federalregister.gov/documents/2025/04/18/2025-06835/ensuring-commercial-cost-effective-solutions-in-federal-contracts,https://www.govinfo.gov/content/pkg/FR-2025-04-18/pdf/2025-06835.pdf,Presidential Document,Executive Order,16433,"See: EO 14369, December 18, 2025",
2025-04-15,2025-04-18,14273,Lowering Drug Prices by Once Again Putting Americans First,Health,"Health, Reproductive Care, and Medical Research",1,90 FR 16441,2025-06837,16444,https://www.federalregister.gov/documents/2025/04/18/2025-06837/lowering-drug-prices-by-once-again-putting-americans-first,https://www.govinfo.gov/content/pkg/FR-2025-04-18/pdf/2025-06837.pdf,Presidential Document,Executive Order,16441,"See: EO 14297, May 12, 2025",
2025-04-15,2025-04-18,14274,Restoring Common Sense to Federal Office Space Management,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 16445,2025-06838,16446,https://www.federalregister.gov/documents/2025/04/18/2025-06838/restoring-common-sense-to-federal-office-space-management,https://www.govinfo.gov/content/pkg/FR-2025-04-18/pdf/2025-06838.pdf,Presidential Document,Executive Order,16445,"Revokes: EO 12072, August 16, 1978; EO 13006, May 21, 1996",
2025-04-15,2025-04-18,14275,Restoring Common Sense to Federal Procurement,Public Admin,Executive Coordination and Administrative Task Forces,0.99,90 FR 16447,2025-06839,16449,https://www.federalregister.gov/documents/2025/04/18/2025-06839/restoring-common-sense-to-federal-procurement,https://www.govinfo.gov/content/pkg/FR-2025-04-18/pdf/2025-06839.pdf,Presidential Document,Executive Order,16447,"See: EO 14192, January 31, 2025",
2025-04-17,2025-04-22,14276,Restoring American Seafood Competitiveness,Commerce,"Trade, Tariffs, and Export Promotion",0.9,90 FR 16993,2025-07062,16995,https://www.federalregister.gov/documents/2025/04/22/2025-07062/restoring-american-seafood-competitiveness,https://www.govinfo.gov/content/pkg/FR-2025-04-22/pdf/2025-07062.pdf,Presidential Document,Executive Order,16993,"See: EO 13921, May 7, 2020",
2025-04-23,2025-04-28,14277,Advancing Artificial Intelligence Education for American Youth,Education; Science Tech,Education and Higher-Ed Transparency,1,90 FR 17519,2025-07368,17523,https://www.federalregister.gov/documents/2025/04/28/2025-07368/advancing-artificial-intelligence-education-for-american-youth,https://www.govinfo.gov/content/pkg/FR-2025-04-28/pdf/2025-07368.pdf,Presidential Document,Executive Order,17519,,
2025-04-23,2025-04-28,14278,Preparing Americans for High-Paying Skilled Trade Jobs of the Future,Labor,"Workforce, Training, and Retirement Security",1,90 FR 17525,2025-07369,17527,https://www.federalregister.gov/documents/2025/04/28/2025-07369/preparing-americans-for-high-paying-skilled-trade-jobs-of-the-future,https://www.govinfo.gov/content/pkg/FR-2025-04-28/pdf/2025-07369.pdf,Presidential Document,Executive Order,17525,"See: EO 14302, May 23, 2025",
2025-04-23,2025-04-28,14281,Restoring Equality of Opportunity and Meritocracy,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 17537,2025-07378,17539,https://www.federalregister.gov/documents/2025/04/28/2025-07378/restoring-equality-of-opportunity-and-meritocracy,https://www.govinfo.gov/content/pkg/FR-2025-04-28/pdf/2025-07378.pdf,Presidential Document,Executive Order,17537,"See: EO 12250, November 2, 1980",
2025-04-23,2025-04-28,14282,Transparency Regarding Foreign Influence at American Universities,Education; International Affairs,Foreign Policy and External Relations,1,90 FR 17541,2025-07379,17542,https://www.federalregister.gov/documents/2025/04/28/2025-07379/transparency-regarding-foreign-influence-at-american-universities,https://www.govinfo.gov/content/pkg/FR-2025-04-28/pdf/2025-07379.pdf,Presidential Document,Executive Order,17541,,
2025-04-23,2025-04-28,14283,White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities,Education,Education and Higher-Ed Transparency,1,90 FR 17543,2025-07380,17545,https://www.federalregister.gov/documents/2025/04/28/2025-07380/white-house-initiative-to-promote-excellence-and-innovation-at-historically-black-colleges-and,https://www.govinfo.gov/content/pkg/FR-2025-04-28/pdf/2025-07380.pdf,Presidential Document,Executive Order,17543,"Revokes: EO 14041, September 3, 2021
 Continued by: EO 14354, September 29, 2025",
2025-04-23,2025-04-28,14279,Reforming Accreditation To Strengthen Higher Education,Education,Education and Higher-Ed Transparency,1,90 FR 17529,2025-07376,17532,https://www.federalregister.gov/documents/2025/04/28/2025-07376/reforming-accreditation-to-strengthen-higher-education,https://www.govinfo.gov/content/pkg/FR-2025-04-28/pdf/2025-07376.pdf,Presidential Document,Executive Order,17529,,
2025-04-23,2025-04-28,14280,Reinstating Commonsense School Discipline Policies,Education,Education and Higher-Ed Transparency,1,90 FR 17533,2025-07377,17535,https://www.federalregister.gov/documents/2025/04/28/2025-07377/reinstating-commonsense-school-discipline-policies,https://www.govinfo.gov/content/pkg/FR-2025-04-28/pdf/2025-07377.pdf,Presidential Document,Executive Order,17533,"See: EO 14190, January 29, 2025",
2025-04-24,2025-04-29,14284,Strengthening Probationary Periods in the Federal Service,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 17729,2025-07469,17733,https://www.federalregister.gov/documents/2025/04/29/2025-07469/strengthening-probationary-periods-in-the-federal-service,https://www.govinfo.gov/content/pkg/FR-2025-04-29/pdf/2025-07469.pdf,Presidential Document,Executive Order,17729,,
2025-04-24,2025-04-29,14285,Unleashing America's Offshore Critical Minerals and Resources,Energy,Energy Development and Resource Expansion,0.99,90 FR 17735,2025-07470,17738,https://www.federalregister.gov/documents/2025/04/29/2025-07470/unleashing-americas-offshore-critical-minerals-and-resources,https://www.govinfo.gov/content/pkg/FR-2025-04-29/pdf/2025-07470.pdf,Presidential Document,Executive Order,17735,,
2025-04-28,2025-05-02,14286,Enforcing Commonsense Rules of the Road for America's Truck Drivers,Transportation,Infrastructure and Maritime Transportation Rules,1,90 FR 18759,2025-07786,18760,https://www.federalregister.gov/documents/2025/05/02/2025-07786/enforcing-commonsense-rules-of-the-road-for-americas-truck-drivers,https://www.govinfo.gov/content/pkg/FR-2025-05-02/pdf/2025-07786.pdf,Presidential Document,Executive Order,18759,"See: EO 14224, March 1, 2025",
2025-04-28,2025-05-02,14288,Strengthening and Unleashing America's Law Enforcement To Pursue Criminals and Protect Innocent Citizens,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 18765,2025-07790,18767,https://www.federalregister.gov/documents/2025/05/02/2025-07790/strengthening-and-unleashing-americas-law-enforcement-to-pursue-criminals-and-protect-innocent,https://www.govinfo.gov/content/pkg/FR-2025-05-02/pdf/2025-07790.pdf,Presidential Document,Executive Order,18765,"See: EO 14159, January 20, 2025",
2025-04-28,2025-05-02,14287,Protecting American Communities From Criminal Aliens,Immigration; Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 18761,2025-07789,18763,https://www.federalregister.gov/documents/2025/05/02/2025-07789/protecting-american-communities-from-criminal-aliens,https://www.govinfo.gov/content/pkg/FR-2025-05-02/pdf/2025-07789.pdf,Presidential Document,Executive Order,18761,,
2025-04-29,2025-05-02,14289,Addressing Certain Tariffs on Imported Articles,Trade,"Trade, Tariffs, and Export Promotion",1,90 FR 18907,2025-07835,18909,https://www.federalregister.gov/documents/2025/05/02/2025-07835/addressing-certain-tariffs-on-imported-articles,https://www.govinfo.gov/content/pkg/FR-2025-05-02/pdf/2025-07835.pdf,Presidential Document,Executive Order,18907,"See: Proc. 9704, March 8, 2018; Proc. 9705, March 8, 2018; Proc. 9980, January 24, 2020; EO 14193, February 1, 2025; EO 14194, February 1, 2025; EO 14197, February 3, 2025; EO 14198, February 3, 2025; Proc. 10895, February 10, 2025; Proc. 10896, February 10, 2025; EO 14226, March 2, 2025; EO 14227, March 2, 2025; March 2, 2025; EO 14231, March 6, 2025; EO 14232, March 6, 2025; Proc. 10908, March 26, 2025; EO 14324, July 30, 2025; See: EO 14325, July 31, 2025; Proc. 10976, September 29, 2025; Proc. 10984, October 17, 2025
 Amended by: Proc. 10947, June 3, 2025",
2025-05-01,2025-05-07,14290,Ending Taxpayer Subsidization of Biased Media,Public Admin,Executive Coordination and Administrative Task Forces,0.99,90 FR 19415,2025-08133,19416,https://www.federalregister.gov/documents/2025/05/07/2025-08133/ending-taxpayer-subsidization-of-biased-media,https://www.govinfo.gov/content/pkg/FR-2025-05-07/pdf/2025-08133.pdf,Presidential Document,Executive Order,19415,,
2025-05-01,2025-05-07,14291,Establishment of the Religious Liberty Commission,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 19417,2025-08134,19419,https://www.federalregister.gov/documents/2025/05/07/2025-08134/establishment-of-the-religious-liberty-commission,https://www.govinfo.gov/content/pkg/FR-2025-05-07/pdf/2025-08134.pdf,Presidential Document,Executive Order,19417,"See: EO 13798, May 4, 2017
 Continued by: EO 14354, September 29, 2025",
2025-05-05,2025-05-08,14292,Improving the Safety and Security of Biological Research,Science Technology,"Technology, Science, and Artificial Intelligence Development",1,90 FR 19611,2025-08266,19614,https://www.federalregister.gov/documents/2025/05/08/2025-08266/improving-the-safety-and-security-of-biological-research,https://www.govinfo.gov/content/pkg/FR-2025-05-08/pdf/2025-08266.pdf,Presidential Document,Executive Order,19611,,
2025-05-05,2025-05-08,14293,Regulatory Relief To Promote Domestic Production of Critical Medicines,Public Admin,"Health, Reproductive Care, and Medical Research",1,90 FR 19615,2025-08267,19617,https://www.federalregister.gov/documents/2025/05/08/2025-08267/regulatory-relief-to-promote-domestic-production-of-critical-medicines,https://www.govinfo.gov/content/pkg/FR-2025-05-08/pdf/2025-08267.pdf,Presidential Document,Executive Order,19615,"See: EO 13944, August 6, 2020",
2025-05-09,2025-05-14,14294,Fighting Overcriminalization in Federal Regulations,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 20363,2025-08681,20365,https://www.federalregister.gov/documents/2025/05/14/2025-08681/fighting-overcriminalization-in-federal-regulations,https://www.govinfo.gov/content/pkg/FR-2025-05-14/pdf/2025-08681.pdf,Presidential Document,Executive Order,20363,,
2025-05-09,2025-05-14,14295,Increasing Efficiency at the Office of the Federal Register,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 20367,2025-08682,20368,https://www.federalregister.gov/documents/2025/05/14/2025-08682/increasing-efficiency-at-the-office-of-the-federal-register,https://www.govinfo.gov/content/pkg/FR-2025-05-14/pdf/2025-08682.pdf,Presidential Document,Executive Order,20367,,
2025-05-09,2025-05-14,14296,Keeping Promises to Veterans and Establishing a National Center for Warrior Independence,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 20369,2025-08683,20371,https://www.federalregister.gov/documents/2025/05/14/2025-08683/keeping-promises-to-veterans-and-establishing-a-national-center-for-warrior-independence,https://www.govinfo.gov/content/pkg/FR-2025-05-14/pdf/2025-08683.pdf,Presidential Document,Executive Order,20369,,
2025-05-12,2025-05-15,14297,Delivering Most-Favored-Nation Prescription Drug Pricing to American Patients,Health,"Health, Reproductive Care, and Medical Research",1,90 FR 20749,2025-08876,20751,https://www.federalregister.gov/documents/2025/05/15/2025-08876/delivering-most-favored-nation-prescription-drug-pricing-to-american-patients,https://www.govinfo.gov/content/pkg/FR-2025-05-15/pdf/2025-08876.pdf,Presidential Document,Executive Order,20749,"See: EO 14273, April 15, 2025",
2025-05-12,2025-05-21,14298,Modifying Reciprocal Tariff Rates To Reflect Discussions With the People's Republic of China,Trade; International Affairs,"Trade, Tariffs, and Export Promotion",1,90 FR 21831,2025-09297,21834,https://www.federalregister.gov/documents/2025/05/21/2025-09297/modifying-reciprocal-tariff-rates-to-reflect-discussions-with-the-peoples-republic-of-china,https://www.govinfo.gov/content/pkg/FR-2025-05-21/pdf/2025-09297.pdf,Presidential Document,Executive Order,21831,"See: EO 14257, April 2, 2025; EO 14259, April 8, 2025; EO 14266, April 9, 2025; Memo. of April 11, 2025; EO 14316, July 7, 2025; EO 14326, July 31, 2025; EO 14334, August 11, 2025",
2025-05-23,2025-05-29,14299,Deploying Advanced Nuclear Reactor Technologies for National Security,Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 22581,2025-09796,22586,https://www.federalregister.gov/documents/2025/05/29/2025-09796/deploying-advanced-nuclear-reactor-technologies-for-national-security,https://www.govinfo.gov/content/pkg/FR-2025-05-29/pdf/2025-09796.pdf,Presidential Document,Executive Order,22581,,
2025-05-23,2025-05-29,14301,Reforming Nuclear Reactor Testing at the Department of Energy,Science Technology,"Technology, Science, and Artificial Intelligence Development",1,90 FR 22591,2025-09799,22593,https://www.federalregister.gov/documents/2025/05/29/2025-09799/reforming-nuclear-reactor-testing-at-the-department-of-energy,https://www.govinfo.gov/content/pkg/FR-2025-05-29/pdf/2025-09799.pdf,Presidential Document,Executive Order,22591,"See: EO 14154, January 20, 2025; EO 14156, January 20, 2025; EO 14299, May 23, 2025",
2025-05-23,2025-05-29,14303,Restoring Gold Standard Science,Science Technology,"Technology, Science, and Artificial Intelligence Development",1,90 FR 22601,2025-09802,22606,https://www.federalregister.gov/documents/2025/05/29/2025-09802/restoring-gold-standard-science,https://www.govinfo.gov/content/pkg/FR-2025-05-29/pdf/2025-09802.pdf,Presidential Document,Executive Order,22601,"See: EO 14154, January 20, 2025; Memo. of January 27, 2021",
2025-05-23,2025-05-29,14300,Ordering the Reform of the Nuclear Regulatory Commission,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 22587,2025-09798,22590,https://www.federalregister.gov/documents/2025/05/29/2025-09798/ordering-the-reform-of-the-nuclear-regulatory-commission,https://www.govinfo.gov/content/pkg/FR-2025-05-29/pdf/2025-09798.pdf,Presidential Document,Executive Order,22587,"See: EO 14154, January 20, 2025; EO 14158, January 20, 2025",
2025-05-23,2025-05-29,14302,Reinvigorating the Nuclear Industrial Base,Defense; Energy,"National Security, Defense, and Strategic Resilience",1,90 FR 22595,2025-09801,22599,https://www.federalregister.gov/documents/2025/05/29/2025-09801/reinvigorating-the-nuclear-industrial-base,https://www.govinfo.gov/content/pkg/FR-2025-05-29/pdf/2025-09801.pdf,Presidential Document,Executive Order,22595,"See: EO 13603, March 16, 2012; EO 14278, April 23, 2025",
2025-06-06,2025-06-11,14305,Restoring American Airspace Sovereignty,Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 24719,2025-10803,24721,https://www.federalregister.gov/documents/2025/06/11/2025-10803/restoring-american-airspace-sovereignty,https://www.govinfo.gov/content/pkg/FR-2025-06-11/pdf/2025-10803.pdf,Presidential Document,Executive Order,24719,,
2025-06-06,2025-06-11,14304,Leading the World in Supersonic Flight,Science Technology,"Technology, Science, and Artificial Intelligence Development",1,90 FR 24717,2025-10800,24718,https://www.federalregister.gov/documents/2025/06/11/2025-10800/leading-the-world-in-supersonic-flight,https://www.govinfo.gov/content/pkg/FR-2025-06-11/pdf/2025-10800.pdf,Presidential Document,Executive Order,24717,,
2025-06-06,2025-06-11,14307,Unleashing American Drone Dominance,Science Technology; Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 24727,2025-10814,24731,https://www.federalregister.gov/documents/2025/06/11/2025-10814/unleashing-american-drone-dominance,https://www.govinfo.gov/content/pkg/FR-2025-06-11/pdf/2025-10814.pdf,Presidential Document,Executive Order,24727,,
2025-06-06,2025-06-11,14306,Sustaining Select Efforts To Strengthen the Nation's Cybersecurity and Amending Executive Order 13694 and Executive Order 14144,Science Technology,"Technology, Science, and Artificial Intelligence Development",1,90 FR 24723,2025-10804,24726,https://www.federalregister.gov/documents/2025/06/11/2025-10804/sustaining-select-efforts-to-strengthen-the-nations-cybersecurity-and-amending-executive-order-13694,https://www.govinfo.gov/content/pkg/FR-2025-06-11/pdf/2025-10804.pdf,Presidential Document,Executive Order,24723,"Amends: EO 13694, April 1, 2015; EO 14144, January 16, 2025
 See: EO 13757, December 28, 2016; EO 13984, January 19, 2021; Notice of March 24, 2026 (91 FR 15511)",
2025-06-12,2025-06-18,14308,Empowering Commonsense Wildfire Prevention and Response,Environment,Environmental Stewardship and Beautification,0.96,90 FR 26175,2025-11358,26177,https://www.federalregister.gov/documents/2025/06/18/2025-11358/empowering-commonsense-wildfire-prevention-and-response,https://www.govinfo.gov/content/pkg/FR-2025-06-18/pdf/2025-11358.pdf,Presidential Document,Executive Order,26175,,
2025-06-16,2025-06-23,14309,Implementing the General Terms of the United States of America-United Kingdom Economic Prosperity Deal,International Affairs; Trade,"Trade, Tariffs, and Export Promotion",1,90 FR 26419,2025-11473,26422,https://www.federalregister.gov/documents/2025/06/23/2025-11473/implementing-the-general-terms-of-the-united-states-of-america-united-kingdom-economic-prosperity,https://www.govinfo.gov/content/pkg/FR-2025-06-23/pdf/2025-11473.pdf,Presidential Document,Executive Order,26419,"See: Proc. 9704, March 8, 2018; Proc. 9705, March 8, 2018; Proc. 9888, May 17, 2019; Proc. 10908, March 26, 2025; EO 14257, April 2, 2025; Notice of March 24, 2026 (91 FR 15517)",
2025-06-19,2025-06-24,14310,Further Extending the TikTok Enforcement Delay,International Affairs; Law Crime; Public Admin,Foreign Policy and External Relations,1,90 FR 26913,2025-11682,26914,https://www.federalregister.gov/documents/2025/06/24/2025-11682/further-extending-the-tiktok-enforcement-delay,https://www.govinfo.gov/content/pkg/FR-2025-06-24/pdf/2025-11682.pdf,Presidential Document,Executive Order,26913,"See: EO 14166, January 20, 2025; EO 14258, April 4, 2025; EO 14350, September 16, 2025; EO 14352, September 25, 2025",
2025-06-30,2025-07-03,14312,Providing for the Revocation of Syria Sanctions,International Affairs,Foreign Policy and External Relations,1,90 FR 29395,2025-12506,29399,https://www.federalregister.gov/documents/2025/07/03/2025-12506/providing-for-the-revocation-of-syria-sanctions,https://www.govinfo.gov/content/pkg/FR-2025-07-03/pdf/2025-12506.pdf,Presidential Document,Executive Order,29395,"Revokes: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; EO 13573, May 18, 2011; EO 13582, August 17, 2011
 Amends: EO 13606, April 22, 2012; EO 13894, October 14, 2019
 See: EO 13224, September 23, 2001; Notice of September 30, 2025",
2025-06-30,2025-07-03,14311,Establishing a White House Office for Special Peace Missions,International Affairs,Foreign Policy and External Relations,1,90 FR 29393,2025-12505,29393,https://www.federalregister.gov/documents/2025/07/03/2025-12505/establishing-a-white-house-office-for-special-peace-missions,https://www.govinfo.gov/content/pkg/FR-2025-07-03/pdf/2025-12505.pdf,Presidential Document,Executive Order,29393,,
2025-07-03,2025-07-09,14313,Establishing the President's Make America Beautiful Again Commission,Environment,Environmental Stewardship and Beautification,0.99,90 FR 30197,2025-12774,30199,https://www.federalregister.gov/documents/2025/07/09/2025-12774/establishing-the-presidents-make-america-beautiful-again-commission,https://www.govinfo.gov/content/pkg/FR-2025-07-09/pdf/2025-12774.pdf,Presidential Document,Executive Order,30197,,
2025-07-03,2025-07-09,14314,Making America Beautiful Again by Improving Our National Parks,Public Lands,"Public Lands, Parks, and Timber Production",1,90 FR 30201,2025-12775,30202,https://www.federalregister.gov/documents/2025/07/09/2025-12775/making-america-beautiful-again-by-improving-our-national-parks,https://www.govinfo.gov/content/pkg/FR-2025-07-09/pdf/2025-12775.pdf,Presidential Document,Executive Order,30201,"Revokes: Memo. of January 12, 2017",
2025-07-07,2025-07-10,14316,Extending the Modification of the Reciprocal Tariff Rates,Trade,"Trade, Tariffs, and Export Promotion",1,90 FR 30823,2025-12962,30824,https://www.federalregister.gov/documents/2025/07/10/2025-12962/extending-the-modification-of-the-reciprocal-tariff-rates,https://www.govinfo.gov/content/pkg/FR-2025-07-10/pdf/2025-12962.pdf,Presidential Document,Executive Order,30823,"See: EO 14257, April 2, 2025; EO 14266, April 9, 2025; EO 14298, May 12, 2025; Notice of March 24, 2026 (91 FR 15517)",
2025-07-07,2025-07-10,14315,"Ending Market Distorting Subsidies for Unreliable, Foreign-Controlled Energy Sources",Energy,Energy Development and Resource Expansion,1,90 FR 30821,2025-12961,30822,https://www.federalregister.gov/documents/2025/07/10/2025-12961/ending-market-distorting-subsidies-for-unreliable-foreign-controlled-energy-sources,https://www.govinfo.gov/content/pkg/FR-2025-07-10/pdf/2025-12961.pdf,Presidential Document,Executive Order,30821,,
