Code_Name,Definition,Inclusion_Criteria,Exclusion_Criteria,Example_Excerpts,Number_of_Microtopics
New Code Occult Conspiracy,Occult symbolism and demonic alliances in fictional geopolitical conflict.,Apply when new code occult conspiracy is central to the excerpt.,Do not apply when new code occult conspiracy appears only in passing.,"{'title': 'Infernal Alliances and Shadow Wars', 'description': 'The posts depict a surreal, apocalyptic narrative centered on occult-inspired power struggles, demonic alliances, and global conspiracies involving political leaders, financial warfare, and eschatological conflict. Themes of tyranny, betrayal, and digital or economic domination dominate, framed through dark, mythic symbolism and fictionalized geopolitical drama.'}",1
Religious Workplace Proselytizing,Promoting personal faith to coworkers during work hours.,Apply when religious workplace proselytizing is central to the excerpt.,Do not apply when religious workplace proselytizing appears only in passing.,"{'title': 'Trump Admin Allows Religious Proselytizing at Work', 'description': ""The Trump administration issued a memo permitting federal employees to discuss and promote their religious beliefs at work, including attempting to persuade coworkers that their faith is 'correct.' Critics argue the policy threatens workplace neutrality and the separation of church and state.""}",1
History Censorship,Efforts to suppress negative historical narratives.,Apply when history censorship is central to the excerpt.,Do not apply when history censorship appears only in passing.,"{'title': ""Trump's Effort to Whitewash National Park History"", 'description': ""The Trump administration issued an executive order directing national parks to remove or alter content deemed 'negative' about American history, including exhibits on slavery, Native American genocide, and climate change. Visitors and historians have pushed back, with many rejecting the effort as censorship and a distortion of truth.""}",1
No Content,Empty text provides no substantive content for coding.,Apply when no content is central to the excerpt.,Do not apply when no content appears only in passing.,{},1
Public Health Policy,Restrictions on gender-affirming care and medical-provider backlash.,Apply when public health policy is central to the excerpt.,Do not apply when public health policy appears only in passing.,"{'title': ""Trump's Attack on Trans Youth Care"", 'description': 'A coordinated effort by the Trump administration to restrict gender-affirming care for transgender minors through legal threats, funding cuts, and subpoenas of medical records, sparking widespread backlash and legal challenges from states and medical providers.'}",1
Public Safety Conflict,Enforcement actions disrupted firefighting and endangered emergency response.,Apply when public safety conflict is central to the excerpt.,Do not apply when public safety conflict appears only in passing.,"{'title': 'ICE Arrests Firefighters During Wildfire', 'description': ""A cluster of posts condemns the Trump administration for ordering ICE to arrest firefighters, including undocumented immigrants and Native Americans, while they were actively battling the Bear Gulch wildfire in Washington State. The arrests disrupted emergency response efforts and sparked widespread outrage over the administration's prioritization of immigration enforcement over public safety.""}",1
White House Records,Removal and replacement of official presidential transcripts.,Apply when white house records is central to the excerpt.,Do not apply when white house records appears only in passing.,"{'title': 'Trump White House Hides Transcripts Amid Mental Fitness Concerns', 'description': ""The Trump administration is systematically removing transcripts of the president's public remarks, releasing only 20% of them and replacing written records with edited videos. Critics argue this erasure hides evidence of cognitive decline and incoherent speech, undermining transparency and historical accountability.""}",1
Mental Fitness Concerns,Claims that transcript suppression hides cognitive decline.,Apply when mental fitness concerns is central to the excerpt.,Do not apply when mental fitness concerns appears only in passing.,"{'title': 'Trump White House Hides Transcripts Amid Mental Fitness Concerns', 'description': ""The Trump administration is systematically removing transcripts of the president's public remarks, releasing only 20% of them and replacing written records with edited videos. Critics argue this erasure hides evidence of cognitive decline and incoherent speech, undermining transparency and historical accountability.""}",1
Public Service Privatization,Efforts to convert public services into private control.,Apply when public service privatization is central to the excerpt.,Do not apply when public service privatization appears only in passing.,"{'title': ""Trump's Push to Privatize USPS"", 'description': ""A cluster of posts expresses outrage over President Trump's efforts to appoint a FedEx board member to lead the U.S. Postal Service, warning of a broader campaign to privatize the agency, undermine its independence, and harm rural and low-income communities. Concerns center on conflicts of interest, deteriorating service, and threats to democratic processes like mail-in voting.""}",1
Gaza Israel Middle East,Pro-Palestinian activism linked to the Israel-Gaza conflict.,Apply when gaza israel middle east is central to the excerpt.,Do not apply when gaza israel middle east appears only in passing.,"{'title': 'Trump Admin Faces Legal Pushback Over Detaining Activists', 'description': 'A cluster of posts details the legal battles surrounding the detention and deportation efforts against pro-Palestinian student activists, including Mahmoud Khalil and Badar Khan Suri, by the Trump administration. Courts have repeatedly ruled against the government’s use of broad immigration powers, citing constitutional violations and suppression of free speech, while activists demand justice and accountability.'}",1
Trump Enabling,Portrays Haberman as supporting Trump through favorable coverage.,Apply when trump enabling is central to the excerpt.,Do not apply when trump enabling appears only in passing.,"{'title': 'Maggie Haberman: Trump Enabler or Journalist?', 'description': ""The posts critique Maggie Haberman as a biased journalist who prioritizes access to Donald Trump over accountability, accusing her of enabling his presidency through favorable coverage and personal connections. Many argue her reporting reflects a conflict of interest due to her family's ties to Trump's PR network.""}",1
New Media Legacy,Fan reflections on a character's evolving legacy across films and comics.,Apply when new media legacy is central to the excerpt.,Do not apply when new media legacy appears only in passing.,"{'title': 'Captain America: Legacy and Reimagining', 'description': ""This cluster explores fan reflections on Captain America's evolving legacy across films and comics, from the iconic 2011 debut to recent reboots. Discussions center on political symbolism, racial and cultural representation, and the character's shifting identity in modern storytelling.""}",1
Representation Politics,"Discussion of racial, cultural, and identity representation in storytelling.",Apply when representation politics is central to the excerpt.,Do not apply when representation politics appears only in passing.,"{'title': 'Captain America: Legacy and Reimagining', 'description': ""This cluster explores fan reflections on Captain America's evolving legacy across films and comics, from the iconic 2011 debut to recent reboots. Discussions center on political symbolism, racial and cultural representation, and the character's shifting identity in modern storytelling.""}",1
Political Competence,Questions Trump's ability and competence through driving-related claims.,Apply when political competence is central to the excerpt.,Do not apply when political competence appears only in passing.,"{'title': ""Trump's Alleged Inability to Drive"", 'description': ""The posts collectively question whether Donald Trump has ever driven a car, suggesting he has never obtained a driver's license or learned to drive, relying instead on chauffeurs and golf carts throughout his life. The theme centers on skepticism about his driving ability, often tied to broader critiques of his competence and privilege.""}",1
Political Self Promotion,Awards are used to boost Trump’s image and loyalty network.,Apply when political self promotion is central to the excerpt.,Do not apply when political self promotion appears only in passing.,"{'title': ""Trump's Tarnishing of Honors"", 'description': 'The posts collectively criticize Donald Trump for devaluing prestigious awards by giving them to loyalists, self-nominating, or using them for self-promotion. The recurring theme is that Trump’s involvement renders any award meaningless, undermining its integrity and legacy.'}",1
Military Technology,Misunderstanding stealth aircraft and fighter jet design.,Apply when military technology is central to the excerpt.,Do not apply when military technology appears only in passing.,"{'title': ""Trump's Misunderstanding of Stealth Technology"", 'description': ""Multiple posts highlight Donald Trump's persistent belief that stealth aircraft are literally invisible, despite the technology only reducing radar detection. His comments on fighter jet design, aesthetics, and nonexistent aircraft programs reveal a fundamental misunderstanding of military aviation principles.""}",1
Education And College Sports,Federal action affecting college athletics and athletes' compensation rights.,Apply when education and college sports is central to the excerpt.,Do not apply when education and college sports appears only in passing.,"{'title': ""Trump's Executive Order on College Sports"", 'description': ""President Trump signs an executive order targeting college athletes' name, image, and likeness (NIL) rights, banning third-party payments and seeking to reclassify athletes as non-employees. The move sparks debate over federal overreach, legality, and the politicization of college athletics.""}",1
New Code Personal Envy,"Highlights jealousy, insecurity, and undermining admired successful people.",Apply when new code personal envy is central to the excerpt.,Do not apply when new code personal envy appears only in passing.,"{'title': ""Trump's Obsession with Jealousy"", 'description': ""The posts collectively highlight Donald Trump's recurring theme of jealousy toward successful, admired individuals across various fields, including celebrities, politicians, and public figures. The sentiment portrays Trump as driven by envy, insecurity, and a need to undermine those he perceives as more talented or popular.""}",1
New Code Domestic Abuse Analogy,Compares political behavior to domestic abuse dynamics and gaslighting.,Apply when new code domestic abuse analogy is central to the excerpt.,Do not apply when new code domestic abuse analogy appears only in passing.,"{'title': 'Trump as National Abuser: A Pattern of Control', 'description': ""The posts draw a consistent parallel between Donald Trump's behavior and that of an abuser in a domestic violence relationship, highlighting patterns of isolation, manipulation, power control, and gaslighting. The collective sentiment emphasizes that America is trapped in a toxic, abusive dynamic with Trump, urging a break for safety and autonomy.""}",1
Objectifying Women,Dehumanizing language and treatment of women in elite circles.,Apply when objectifying women is central to the excerpt.,Do not apply when objectifying women appears only in passing.,"{'title': ""Epstein's 'Fully Depreciated' Woman Joke with Trump"", 'description': ""A newly released page from Jeffrey Epstein's birthday book shows a mock check and joke about selling a 'fully depreciated' woman to Donald Trump for $22,500, sparking outrage over the dehumanizing language and the nature of their relationship. The posts highlight the disturbing normalization of objectifying women in elite circles.""}",1
Education And Manipulation,Education is framed as tied to political gullibility and manipulation.,Apply when education and manipulation is central to the excerpt.,Do not apply when education and manipulation appears only in passing.,"{'title': ""Trump's Alleged Love for the Uneducated"", 'description': ""The posts revolve around Donald Trump's repeated claims—often cited from a 2016 rally—where he stated he 'loves the poorly educated.' Critics interpret this as a reflection of his disdain for education and intellectualism, suggesting he values a gullible, easily manipulated base. The cluster highlights concerns about the erosion of public education, political manipulation, and the perceived correlation between low education levels and support for Trump.""}",1
Education And Prestige,Questions academic credentials and institutional status claims.,Apply when education and prestige is central to the excerpt.,Do not apply when education and prestige appears only in passing.,"{'title': ""Trump's Wharton Legacy: Myth vs. Reality"", 'description': ""These posts challenge the credibility of Donald Trump's academic achievements at the Wharton School, citing claims from former professors that he was the 'dumbest student ever' and questioning his admission, grades, and the secrecy surrounding his academic record. The cluster highlights skepticism about his degree's value and Wharton's complicity in his public image.""}",1
Education And Access,"Highlights educational, financial, and intellectual barriers to Harvard admission.",Apply when education and access is central to the excerpt.,Do not apply when education and access appears only in passing.,"{'title': 'MAGA Boycotting Harvard: The Irony Is Real', 'description': 'These posts mock the idea of MAGA supporters boycotting Harvard, highlighting the absurdity given that most would never be admitted due to educational, financial, or intellectual barriers. The humor centers on the irony and impossibility of the boycott, turning it into a viral meme.'}",1
Education And Visas,Policy toward international students and university access.,Apply when education and visas is central to the excerpt.,Do not apply when education and visas appears only in passing.,"{'title': ""Trump's Shifting Chinese Student Visa Policy"", 'description': ""The posts detail the Trump administration's conflicting actions on Chinese student visas—first threatening to aggressively revoke them over espionage concerns, then reversing course to welcome 600,000 students as part of trade talks. This shift has sparked intense backlash from MAGA supporters, highlighting political contradictions and tensions over immigration, national security, and higher education.""}",1
News Media Shift,Media outlet changes stance and increases criticism of Trump.,Apply when news media shift is central to the excerpt.,Do not apply when news media shift appears only in passing.,"{'title': 'WSJ Turns on Trump: A Conservative Shift', 'description': ""The Wall Street Journal, long seen as a conservative ally of Donald Trump, is now aggressively reporting on and criticizing his administration, marking a surprising and significant shift. This growing scrutiny from a traditionally pro-business, right-leaning outlet has sparked widespread reaction, with many viewing it as a potential turning point in Trump's political downfall.""}",1
Education And History,Focuses on distorting historical truth and undermining learning.,Apply when education and history is central to the excerpt.,Do not apply when education and history appears only in passing.,"{'title': ""MAGA's War on History"", 'description': 'The posts collectively highlight a recurring critique that the MAGA movement actively seeks to distort, erase, or rewrite history to serve its political agenda. Many emphasize that this historical revisionism undermines truth, education, and democratic accountability.'}",1
New Code Masculinity Politics,"Political support shaped by masculinity, identity, and gendered cultural beliefs.",Apply when new code masculinity politics is central to the excerpt.,Do not apply when new code masculinity politics appears only in passing.,"{'title': ""Gen Z and Young Men's Shift to Trump"", 'description': 'A cluster of posts examines the surprising political realignment of young men, particularly Gen Z and millennials, who swung toward Trump in 2024 despite broader youth support for Democrats. The discussion centers on masculinity, identity, economic anxiety, and generational disillusionment, with growing evidence that this shift was driven more by cultural and demographic factors than policy. '}",1
Political Favoritism,Critiques unequal treatment of powerful people in justice decisions.,Apply when political favoritism is central to the excerpt.,Do not apply when political favoritism appears only in passing.,"{'title': 'Trump Pardon for Diddy Sparks Outrage', 'description': ""Posts revolve around the widespread speculation and controversy surrounding Donald Trump potentially pardoning Sean 'Diddy' Combs after his conviction on prostitution charges. Critics condemn the possibility as a symbol of systemic injustice, highlighting the perceived hypocrisy and political favoritism toward powerful figures accused of sexual misconduct.""}",1
Authoritarian Imagery,"Satire and concern about monarchical, tyrannical, or anti-democratic symbolism.",Apply when authoritarian imagery is central to the excerpt.,Do not apply when authoritarian imagery appears only in passing.,"{'title': 'Trump and the King Imagery Controversy', 'description': ""These posts collectively highlight widespread concern and satire around Donald Trump's perceived embrace of monarchical imagery and rhetoric, with users drawing parallels to tyrannical rulers and warning against the erosion of democratic norms.""}",1
Fan Culture,Expressions of fandom through themed apparel and merchandise.,Apply when fan culture is central to the excerpt.,Do not apply when fan culture appears only in passing.,"{'title': 'Fan Apparel & Nostalgic Merchandise', 'description': 'The posts feature a wide variety of themed T-shirts centered around sports teams, music concerts, pop culture, and personal milestones. Many highlight vintage, secondhand, or limited-edition designs, with recurring emphasis on individuality, sustainability, and fandom pride.'}",1
Nostalgic Merchandise,"Vintage, secondhand, or limited-edition items evoking personal memories.",Apply when nostalgic merchandise is central to the excerpt.,Do not apply when nostalgic merchandise appears only in passing.,"{'title': 'Fan Apparel & Nostalgic Merchandise', 'description': 'The posts feature a wide variety of themed T-shirts centered around sports teams, music concerts, pop culture, and personal milestones. Many highlight vintage, secondhand, or limited-edition designs, with recurring emphasis on individuality, sustainability, and fandom pride.'}",1
Political Vanity,Self-aggrandizing behavior seeking attention and personal glorification.,Apply when political vanity is central to the excerpt.,Do not apply when political vanity appears only in passing.,"{'title': ""Trump's White House Art Controversy"", 'description': ""The posts center on President Donald Trump's controversial relocation of official portraits of former presidents Barack Obama, George W. Bush, and George H.W. Bush to a hidden stairwell, while replacing them with self-aggrandizing artwork, including a painting of himself after an assassination attempt. Critics condemn the move as petty, vindictive, and a breach of tradition.""}",1
Manipulation,Focuses on Trump being influenced through flattery and praise.,Apply when manipulation is central to the excerpt.,Do not apply when manipulation appears only in passing.,"{'title': ""Trump's Ego: The Key to Manipulation"", 'description': 'The posts consistently highlight how Donald Trump is easily manipulated through flattery, ego-stroking, and praise, with many asserting that his susceptibility to such tactics makes him a malleable figurehead controlled by those who feed his vanity.'}",1
Labor Mockery,Mocks willingness to do physically demanding farm work.,Apply when labor mockery is central to the excerpt.,Do not apply when labor mockery appears only in passing.,"{'title': 'MAGA Workers in the Fields? Not Happening.', 'description': 'These posts mock the idea that MAGA supporters would actually take on farm labor, highlighting the physical demands and irony of their political rhetoric. The recurring theme is disbelief that these voters would perform the hard work needed to grow food, especially under extreme conditions.'}",1
Partisan Divide,"Strong polarization, disbelief, and criticism across political camps.",Apply when partisan divide is central to the excerpt.,Do not apply when partisan divide appears only in passing.,"{'title': 'Persistent Support for Trump Despite Controversy', 'description': 'The posts revolve around the recurring theme of individuals being identified or perceived as Trump supporters, often with strong reactions, skepticism, or criticism. Many express confusion or disbelief over continued loyalty to Trump, highlighting the deep political divide and the perceived irrationality of his enduring base.'}",1
Transactional Relationships,"Describes relationships as self-serving, superficial, and lacking genuine friendship.",Apply when transactional relationships is central to the excerpt.,Do not apply when transactional relationships appears only in passing.,"{'title': ""Trump's Lack of Genuine Friendships"", 'description': 'The posts collectively highlight the recurring theme that Donald Trump has no real friends, only sycophants, allies, or people he uses for personal gain. They emphasize his inability to form authentic human connections and critique his superficial relationships as transactional rather than emotional.'}",1
New Political Movement,Backs a new candidate or movement to reshape politics.,Apply when new political movement is central to the excerpt.,Do not apply when new political movement appears only in passing.,"{'title': 'Support for Splitting the Republican Party', 'description': 'Multiple social media users express enthusiasm for a new political movement or candidate that could fracture the Republican Party, viewing a divided conservative vote as beneficial for Democratic prospects and American democracy.'}",1
Political Decline,"Emphasizes aging, physical decline, and diminished mental abilities.",Apply when political decline is central to the excerpt.,Do not apply when political decline appears only in passing.,"{'title': ""Trump's Age and Decline in the Public Eye"", 'description': ""The posts collectively focus on Donald Trump's advancing age, emphasizing his 79th year and concerns about his physical and mental health, fitness for office, and public image as an elderly leader. Many highlight his declining abilities and contrast them with expectations for a president, framing his age as a central issue in his political viability.""}",1
Federal Funding Conflict,State leaders resist federal taxes over threatened funding cuts.,Apply when federal funding conflict is central to the excerpt.,Do not apply when federal funding conflict appears only in passing.,"{'title': 'Blue States Demand Tax Rebellion Against Trump', 'description': ""A coordinated push by blue state leaders and citizens to withhold federal tax payments in response to Trump's threats to cut funding, arguing that donor states are unfairly subsidizing red states and the federal government. The movement frames tax resistance as a form of economic leverage and democratic defiance.""}",1
Trump Controversy,Public controversy involving Donald Trump and alleged misconduct.,Apply when trump controversy is central to the excerpt.,Do not apply when trump controversy appears only in passing.,"{'title': 'Trump Found Liable for Rape in Civil Case', 'description': ""A civil jury found Donald Trump liable for sexually abusing E. Jean Carroll, with a judge later clarifying that the act constituted rape under common understanding, despite New York law's narrow definition. The case has sparked widespread debate over legal terminology and accountability.""}",1
Self Interest Motive,"Depicts actions as driven by personal gain, ego, or power.",Apply when self interest motive is central to the excerpt.,Do not apply when self interest motive appears only in passing.,"{'title': ""Trump's Self-Interest Obsession"", 'description': 'These posts consistently criticize Donald Trump for prioritizing his own interests above all else, portraying him as self-centered, narcissistic, and indifferent to the public good. The recurring theme is that every action he takes is driven by personal gain, ego, or power, with no genuine concern for others.'}",1
Political Diversion,Suggests conflict could distract from scandal and pressure.,Apply when political diversion is central to the excerpt.,Do not apply when political diversion appears only in passing.,"{'title': 'Trump War Rumors Amid Epstein Scandal', 'description': 'The posts speculate that Donald Trump may provoke international or domestic conflict to divert attention from the Epstein scandal and his alleged involvement. Many claim this would be a desperate attempt to distract from legal and political pressures surrounding the Epstein files.'}",1
Political Fear,"Fearful defensiveness toward rivals, threats, and exposure.",Apply when political fear is central to the excerpt.,Do not apply when political fear appears only in passing.,"{'title': ""Trump's Fear of Rivals and Exposure"", 'description': ""The posts collectively depict Donald Trump as deeply afraid of various individuals, threats, and revelations—ranging from political opponents to personal vulnerabilities. The recurring theme centers on Trump's perceived anxiety, defensiveness, and attempts to deflect scrutiny, suggesting a man under intense psychological pressure.""}",1
Elon Musk Technology,Elon Musk's political influence and public statements drive the controversy.,Apply when elon musk technology is central to the excerpt.,Do not apply when elon musk technology appears only in passing.,"{'title': 'Elon Musk Accuses Trump of Being a Pedophile', 'description': ""A cluster of posts centers on Elon Musk's recent claims that Donald Trump is a pedophile, sparking outrage over Musk's past support for Trump despite allegedly knowing about his alleged ties to child sex trafficking. The posts question Musk's credibility, timing, and moral responsibility, while amplifying accusations that Trump is a predator and a criminal. ""}",1
Political Deterioration,Claims Trump's actions worsen existing problems and public trust.,Apply when political deterioration is central to the excerpt.,Do not apply when political deterioration appears only in passing.,"{'title': ""Trump's Impact: Making Things Worse"", 'description': ""The posts consistently express concern that Donald Trump's leadership is exacerbating existing problems, with a recurring theme that his actions and policies inevitably worsen situations across government, society, and public trust. The sentiment is unified in predicting continued deterioration under his administration.""}",1
Political Contradiction,Highlights inconsistencies in Trump's account and perceived lack of empathy.,Apply when political contradiction is central to the excerpt.,Do not apply when political contradiction appears only in passing.,"{'title': ""Trump Admits Epstein 'Stole' Teen Worker"", 'description': ""Posts center on Donald Trump's recent admission that Jeffrey Epstein 'stole' Virginia Giuffre, a teenage spa worker at Mar-a-Lago, from his club—raising serious concerns about underage labor, trafficking, and Trump's awareness of Epstein's crimes. The posts highlight contradictions in Trump's timeline and his lack of empathy toward the victim.""}",1
New Code Personal Branding,Focuses on self-promotional branding through property development.,Apply when new code personal branding is central to the excerpt.,Do not apply when new code personal branding appears only in passing.,"{'title': ""Trump's Global Hotel Expansion Obsession"", 'description': 'The posts revolve around the recurring theme of Donald Trump seeking to develop new hotels, resorts, and towers on various properties worldwide, often criticizing the idea as self-serving, extravagant, and taxpayer-funded. The tone is largely satirical, highlighting his perceived obsession with branding real estate with his name.'}",1
White House Styling,Criticism of decorative changes and aesthetic choices in the Oval Office.,Apply when white house styling is central to the excerpt.,Do not apply when white house styling appears only in passing.,"{'title': ""Trump's Tacky Gold Overhaul of the Oval Office"", 'description': ""The posts criticize Donald Trump's extensive use of fake gold embellishments in the Oval Office, portraying them as tasteless, expensive, and emblematic of his perceived lack of class and obsession with ostentation. Many compare the decor to a Vegas casino or brothel, emphasizing its inauthenticity and damage to the White House's historic dignity.""}",1
Public Funding Priorities,Criticism of luxury spending while cutting essential social services.,Apply when public funding priorities is central to the excerpt.,Do not apply when public funding priorities appears only in passing.,"{'title': ""Trump's $200M Golden Ballroom Controversy"", 'description': ""A cluster of posts criticizes President Trump's plan to build a $200 million, gilded ballroom at the White House, questioning the funding source, prioritizing luxury over social programs, and viewing it as a symbol of narcissism and misaligned values. Many express outrage over the use of private funds claims while cutting vital public services.""}",1
Political Aesthetic Critique,Condemnation of gaudy taste and destruction of historic beauty.,Apply when political aesthetic critique is central to the excerpt.,Do not apply when political aesthetic critique appears only in passing.,"{'title': 'Trump Paves Over Historic Rose Garden', 'description': ""The posts criticize President Trump's decision to pave over the iconic White House Rose Garden, calling it a destruction of history and beauty. Many view the renovation as a symbol of Trump's tasteless, gaudy vision for the presidency, with comparisons to Mar-a-Lago and accusations of erasing legacy.""}",1
Native Sovereignty,"Recognizes Indigenous rights, land claims, and self-determination.",Apply when native sovereignty is central to the excerpt.,Do not apply when native sovereignty appears only in passing.,"{'title': 'Who Were the First Americans?', 'description': 'These posts center on the debate over who the original inhabitants of North America were, emphasizing that Indigenous peoples arrived thousands of years ago from Asia via Beringia, and that all other groups, including Europeans and Africans, are descendants of later migrations. The discussion critiques colonial narratives, highlights historical injustices, and calls for recognition of Native sovereignty and land rights.'}",1
Colonial Critique,Challenges colonial narratives and highlights historical injustice.,Apply when colonial critique is central to the excerpt.,Do not apply when colonial critique appears only in passing.,"{'title': 'Who Were the First Americans?', 'description': 'These posts center on the debate over who the original inhabitants of North America were, emphasizing that Indigenous peoples arrived thousands of years ago from Asia via Beringia, and that all other groups, including Europeans and Africans, are descendants of later migrations. The discussion critiques colonial narratives, highlights historical injustices, and calls for recognition of Native sovereignty and land rights.'}",1
New Term Confusion,Confusion over continental versus national meaning of American.,Apply when new term confusion is central to the excerpt.,Do not apply when new term confusion appears only in passing.,"{'title': ""Clarifying 'American Pope': North vs. South America"", 'description': ""The posts debate the correct terminology for Pope Leo XIV, emphasizing that Pope Francis, born in Argentina, was the first pope from the Americas (South America), while Leo XIV is the first from the United States (North America). The discussion highlights confusion between 'American' as a continental term versus a national one.""}",1
Education And Control,Attacks on education used to suppress critical thinking and maintain power.,Apply when education and control is central to the excerpt.,Do not apply when education and control appears only in passing.,"{'title': ""MAGA's War on Education"", 'description': ""These posts collectively criticize the MAGA movement's hostility toward education, arguing that its leaders and supporters actively undermine schools, critical thinking, and intellectual development to maintain control and suppress dissent. The recurring theme is that ignorance serves the political agenda of authoritarianism and economic exploitation.""}",1
Religious Hypocrisy,Mocks commercialization of faith and mismatch between branding and beliefs.,Apply when religious hypocrisy is central to the excerpt.,Do not apply when religious hypocrisy appears only in passing.,"{'title': ""The Satirical 'Trump Bible' Phenomenon"", 'description': ""These posts mock the idea of a 'Trump Bible'—a satirical concept blending political parody, religious critique, and commentary on Trump's commercialization of faith. They highlight the irony of Trump selling branded Bibles, his lack of biblical knowledge, and the hypocrisy of promoting religious symbols while ignoring their actual teachings.""}",1
Trump Messaging,Use of slogans to dismiss criticism and shape public perception.,Apply when trump messaging is central to the excerpt.,Do not apply when trump messaging appears only in passing.,"{'title': ""Trump and the Weaponization of 'Fake News'"", 'description': ""The posts critique Donald Trump for co-opting and distorting the term 'fake news' to dismiss any unfavorable reporting, framing it as a political tactic to undermine credible journalism and spread disinformation. The cluster highlights how Trump's repeated use of the phrase has redefined public perception of truth and media integrity.""}",1
Partisan Critique,Mocks MAGA supporters and their contradictory positions.,Apply when partisan critique is central to the excerpt.,Do not apply when partisan critique appears only in passing.,"{'title': ""MAGA's Hypocritical Immigration Rhetoric"", 'description': 'These posts critique the inconsistent and racially charged stance of MAGA supporters on immigration, highlighting their demand to deport immigrants while ignoring the legal and moral contradictions, and ironically calling for the deportation of MAGA supporters themselves.'}",1
Racial Conservatism,Describes race-based political strategy and exclusionary ideology.,Apply when racial conservatism is central to the excerpt.,Do not apply when racial conservatism appears only in passing.,"{'title': 'The Party Flip: From Lincoln to Trump', 'description': 'These posts explore the historical realignment of the U.S. political parties, highlighting how the Republican Party evolved from its anti-slavery, progressive roots under Lincoln to its current identity shaped by the Southern Strategy and racial conservatism after the Civil Rights Movement. The cluster critiques modern Republicans for invoking Lincoln while embracing policies and ideologies at odds with his legacy.'}",1
Fascist Nostalgia,Highlights idealized past imagery tied to inequality and oppression.,Apply when fascist nostalgia is central to the excerpt.,Do not apply when fascist nostalgia appears only in passing.,"{'title': ""MAGA's Vague Vision of a 'Great' Past"", 'description': ""These posts critique the MAGA movement's use of 'Make America Great Again' as a vague, nostalgic slogan with no clear historical reference, highlighting the irony and contradictions in its idealized vision of the past—often pointing to eras marked by inequality, oppression, or outdated values.""}",1
Fascist Extremism,Mocks the hat as symbolizing vanity and political extremism.,Apply when fascist extremism is central to the excerpt.,Do not apply when fascist extremism appears only in passing.,"{'title': ""Trump's 'Right About Everything' Hat Controversy"", 'description': ""The posts revolve around widespread mockery and criticism of Donald Trump wearing a hat that says 'Trump Was Right About Everything,' highlighting its absurdity, perceived delusion, and symbolic representation of his controversial leadership. The recurring theme mocks the hat as a sign of vanity, ignorance, and political extremism.""}",1
Climate Policy,Criticism of climate denial and opposition to environmental regulations.,Apply when climate policy is central to the excerpt.,Do not apply when climate policy appears only in passing.,"{'title': 'Republican Hypocrisy on Wildfire Smoke', 'description': 'Six Republican House members from Wisconsin and Minnesota sent a letter to Canada complaining about wildfire smoke, despite supporting policies that worsen climate change and increase fire risk. The posts highlight the irony and climate denialism behind their complaints, with critics pointing to their opposition to environmental regulations and fossil fuel expansion.'}",1
Political Misinformation,False or misleading claims about appointment history.,Apply when political misinformation is central to the excerpt.,Do not apply when political misinformation appears only in passing.,"{'title': 'Trump Forgets Appointing Powell', 'description': ""Multiple posts highlight Donald Trump's repeated claims that Joe Biden appointed Jerome Powell as Fed Chair, despite video evidence showing Trump himself nominated and appointed Powell in 2017. The posts express concern over Trump's apparent memory lapses or deliberate historical revisionism, sparking widespread criticism about his cognitive decline and truthfulness.""}",1
Political Subservience,Depicts Trump as emotionally and politically controlled by Putin.,Apply when political subservience is central to the excerpt.,Do not apply when political subservience appears only in passing.,"{'title': ""Trump's Alleged Subjugation to Putin"", 'description': 'The posts depict a recurring theme of Donald Trump being portrayed as politically and personally subservient to Vladimir Putin, with claims of blackmail, manipulation, and emotional dependency. The tone is satirical and critical, suggesting Putin holds compromising leverage over Trump and that their relationship undermines U.S. sovereignty.'}",1
Feminist Critique,"Highlights misogyny, women’s subjugation, and attacks on autonomy.",Apply when feminist critique is central to the excerpt.,Do not apply when feminist critique appears only in passing.,"{'title': ""Republican Party's Anti-Women Agenda"", 'description': ""The posts collectively condemn the Republican Party for promoting policies and attitudes that undermine women's rights, autonomy, and dignity. They highlight widespread misogyny, the subjugation of women, and the hypocrisy of Republican women who support or enable these views.""}",1
Politicized Appointments,Staffing decisions based on political loyalty rather than expertise.,Apply when politicized appointments is central to the excerpt.,Do not apply when politicized appointments appears only in passing.,"{'title': 'Trump Fires Immigration Judges, Hires Military Lawyers', 'description': 'The Trump administration has fired numerous immigration judges, citing political loyalty, while simultaneously authorizing military lawyers with no immigration law experience to replace them. Critics warn this undermines due process and establishes a politicized, militarized immigration system.'}",1
Political Leadership,Focuses on dependence on Trump's personal charisma and succession.,Apply when political leadership is central to the excerpt.,Do not apply when political leadership appears only in passing.,"{'title': ""MAGA's Fate After Trump"", 'description': 'These posts collectively explore the idea that the MAGA movement is fundamentally a cult of personality centered on Donald Trump. Many believe the movement would collapse or severely weaken upon his death or departure, as no successor possesses the same charisma or unifying power. While some acknowledge MAGA may persist in fragmented forms, the consensus is that its core identity is inseparable from Trump himself.'}",1
Democratic Party Conflict,Internal conflict over party direction and strategy.,Apply when democratic party conflict is central to the excerpt.,Do not apply when democratic party conflict appears only in passing.,"{'title': ""DNC vs. David Hogg: Fight for Party's Future"", 'description': ""The posts center on the intense conflict between progressive activist David Hogg and the Democratic National Committee, as Hogg pushes for primary challenges against moderate Democrats who resist Trump, sparking backlash from party leadership. The debate highlights deep divisions over the party's direction, youth engagement, and effectiveness in opposing Republican extremism.""}",1
